torneo,fecha,home_team,away_team,home_score,away_score,elo_h,elo_a,lambda_h,lambda_a,p_home,p_draw,p_away,resultado,brier,logloss,rps
2022,2022-12-02,South Korea,Portugal,2,1,1780.0,2018.0,0.952,1.643,0.2184,0.2458,0.5358,H,0.9584,1.5214,0.449
2022,2022-12-03,Netherlands,United States,3,1,2003.0,1801.0,1.577,0.993,0.5094,0.2524,0.2382,H,0.3611,0.6745,0.1487
2022,2022-12-03,Argentina,Australia,2,1,2143.0,1731.0,2.006,0.78,0.6605,0.2032,0.1363,H,0.1751,0.4148,0.0669
2022,2022-12-04,France,Poland,3,1,2073.0,1813.0,1.685,0.929,0.5519,0.2414,0.2067,H,0.3018,0.5944,0.1218
2022,2022-12-04,England,Senegal,3,0,1923.0,1705.0,1.606,0.975,0.5211,0.2496,0.2293,H,0.3442,0.6517,0.1409
2022,2022-12-05,Japan,Croatia,1,1,1799.0,1926.0,1.082,1.447,0.2824,0.2629,0.4547,D,0.8299,1.3362,0.1433
2022,2022-12-05,Brazil,South Korea,4,1,2167.0,1780.0,1.949,0.803,0.6431,0.2102,0.1467,H,0.1931,0.4414,0.0744
2022,2022-12-06,Morocco,Spain,0,0,1751.0,2034.0,0.905,1.73,0.195,0.2364,0.5687,D,0.9445,1.4423,0.1807
2022,2022-12-06,Portugal,Switzerland,6,1,2018.0,1913.0,1.411,1.109,0.4388,0.2651,0.2961,H,0.4728,0.8236,0.2013
2022,2022-12-09,Croatia,Brazil,1,1,1926.0,2167.0,0.949,1.649,0.2168,0.2452,0.538,D,0.9061,1.4056,0.1682
2022,2022-12-09,Netherlands,Argentina,2,2,2003.0,2143.0,1.066,1.469,0.2745,0.2614,0.4641,D,0.8364,1.3419,0.1454
2022,2022-12-10,Morocco,Portugal,1,0,1751.0,2018.0,0.921,1.699,0.2031,0.2399,0.557,H,1.0028,1.594,0.4726
2022,2022-12-10,England,France,1,2,1923.0,2073.0,1.053,1.486,0.2685,0.2601,0.4714,A,0.4191,0.752,0.1757
2022,2022-12-13,Argentina,Croatia,3,0,2143.0,1926.0,1.604,0.976,0.5204,0.2497,0.2299,H,0.3452,0.6531,0.1414
2022,2022-12-14,France,Morocco,2,0,2073.0,1751.0,1.809,0.865,0.5969,0.2272,0.1759,H,0.245,0.516,0.0967
2022,2022-12-17,Croatia,Morocco,2,1,1926.0,1751.0,1.529,1.024,0.4897,0.2566,0.2537,H,0.3907,0.7141,0.1624
2022,2022-12-18,Argentina,France,3,3,2143.0,2073.0,1.355,1.155,0.4138,0.2678,0.3184,D,0.8088,1.3177,0.1363
